frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
758,79.0,"[np.float64(265.34499451139834), np.float64(804.1993166404131), np.float64(541.7062013598711), np.float64(1028.702972730087)]","[391.22430419921875, 901.3507690429688, 461.9911193847656, 921.4191284179688]",88LA298893
759,79.0,"[np.float64(264.84575752684054), np.float64(805.5212873605878), np.float64(547.7197200823792), np.float64(1028.8292277730893)]","[397.74810791015625, 902.6721801757812, 470.42877197265625, 922.4210205078125]",89A-29893
760,79.0,"[np.float64(265.3870535796343), np.float64(806.4366408991632), np.float64(555.3531889035547), np.float64(1028.7117039761329)]","[400.95794677734375, 903.4005737304688, 475.75640869140625, 924.9685668945312]",89A-29893
761,79.0,"[np.float64(267.66926388920274), np.float64(807.6110806451602), np.float64(564.2119265450732), np.float64(1028.6737988433642)]","[407.86920166015625, 904.0863037109375, 480.047119140625, 925.7578125]",89A-29893
762,79.0,"[np.float64(269.68695588253337), np.float64(807.7615059931353), np.float64(571.5319437444196), np.float64(1028.3024392922255)]","[413.1011657714844, 906.8043212890625, 489.14080810546875, 927.7957153320312]",89A-29893
763,79.0,"[np.float64(269.821539243139), np.float64(806.8863526916713), np.float64(575.6938181182443), np.float64(1027.606861811964)]","[420.5142517089844, 907.5537109375, 494.4847717285156, 928.9896240234375]",89A-29893
764,79.0,"[np.float64(271.0402613412797), np.float64(807.0836861257134), np.float64(578.5979240854132), np.float64(1027.5142250563674)]","[424.3631896972656, 908.2492065429688, 501.67236328125, 929.9337768554688]",89A-29893
765,79.0,"[np.float64(270.4001076267034), np.float64(807.3625451189853), np.float64(579.56679827525), np.float64(1027.4554836550262)]","[428.18182373046875, 908.9406127929688, 505.474609375, 931.0517578125]",89A-29893
766,79.0,"[np.float64(270.50272302340727), np.float64(806.660425215944), np.float64(580.3672962029552), np.float64(1026.7726918975357)]","[435.5245056152344, 909.0245971679688, 512.5978393554688, 931.8781127929688]",89A-29893
767,79.0,"[np.float64(270.5373795329216), np.float64(806.273324843214), np.float64(580.7503153965331), np.float64(1026.6412425336305)]","[441.3662109375, 910.7062377929688, 518.8439331054688, 932.4191284179688]",89A-29893
768,79.0,"[np.float64(269.7763570220458), np.float64(805.4008686220557), np.float64(580.5878330696569), np.float64(1026.108259768627)]","[445.3861389160156, 913.4285278320312, 528.9573974609375, 934.9439697265625]",89A-29893
769,79.0,"[np.float64(276.1796355964967), np.float64(805.2973950551682), np.float64(583.2511234313074), np.float64(1026.009629773876)]","[451.4341735839844, 913.7879638671875, 536.3795166015625, 935.38330078125]",89A-29893
770,79.0,"[np.float64(280.46785017500986), np.float64(804.708357695526), np.float64(584.0177855351552), np.float64(1025.722857843102)]","[457.3934631347656, 915.7965087890625, 539.4137573242188, 936.4095458984375]",89A-29893
771,79.0,"[np.float64(284.4621763672651), np.float64(804.4035052223803), np.float64(584.314985506452), np.float64(1025.6260084706714)]","[462.4291076660156, 916.2258911132812, 547.9158325195312, 937.4719848632812]",89A-29893
772,79.0,"[np.float64(287.96487516926175), np.float64(804.5469572518452), np.float64(584.2391462451428), np.float64(1025.704697801878)]","[472.7642517089844, 917.9873046875, 553.9794921875, 937.6476440429688]",89A-29893
